MAP final,Fri, 13 Jan 2023 16:10:17 EET
Method,CogC,v(G)
com.example.map_toysocialnetwork_javafx.HelloApplication.main(String[]),0,1
com.example.map_toysocialnetwork_javafx.HelloApplication.start(Stage),0,1
com.example.map_toysocialnetwork_javafx.HelloController.onHelloButtonClick(),0,1
com.example.map_toysocialnetwork_javafx.domain.Entity.getId(),0,1
com.example.map_toysocialnetwork_javafx.domain.Entity.setId(ID),0,1
"com.example.map_toysocialnetwork_javafx.domain.Friendship.Friendship(Long, Long)",0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.getFriendsFrom(),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.getId1(),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.getId2(),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.getStatus(),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.setFriendsFrom(LocalDate),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.setStatus(String),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.toString(),0,1
com.example.map_toysocialnetwork_javafx.domain.Friendship.writeable(),0,1
"com.example.map_toysocialnetwork_javafx.domain.Message.Message(String, Long, Long, LocalDateTime)",0,1
com.example.map_toysocialnetwork_javafx.domain.Message.getIdFrom(),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.getIdTo(),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.getMessage(),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.getSendTime(),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.setIdFrom(Long),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.setIdTo(Long),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.setMessage(String),0,1
com.example.map_toysocialnetwork_javafx.domain.Message.setSendTime(LocalDateTime),0,1
"com.example.map_toysocialnetwork_javafx.domain.MessageDTO.MessageDTO(Long, String, LocalDateTime)",0,1
com.example.map_toysocialnetwork_javafx.domain.MessageDTO.getDateTime(),0,1
com.example.map_toysocialnetwork_javafx.domain.MessageDTO.getId(),0,1
com.example.map_toysocialnetwork_javafx.domain.MessageDTO.getMessage(),0,1
com.example.map_toysocialnetwork_javafx.domain.MessageDTO.setDateTime(LocalDateTime),0,1
com.example.map_toysocialnetwork_javafx.domain.MessageDTO.setId(Long),0,1
com.example.map_toysocialnetwork_javafx.domain.MessageDTO.setMessage(String),0,1
"com.example.map_toysocialnetwork_javafx.domain.User.User(String, String, String, String, String)",0,1
com.example.map_toysocialnetwork_javafx.domain.User.equals(Object),3,6
com.example.map_toysocialnetwork_javafx.domain.User.getEmail(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.getFirstname(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.getLastname(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.getPassword(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.getSalt(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.hashCode(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.toString(),0,1
com.example.map_toysocialnetwork_javafx.domain.User.writeable(),0,1
